#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
898,ICARUS,3-Dec-21,26.24,0,750000,00:00 (00:00),RocketWerkz,RocketWerkz,12
899,SnowRunner,17-May-21,16.49,0,750000,00:00 (00:00),Saber Interactive,Focus Entertainment,5
901,NBA 2K22,9-Sep-21,59.99,0,750000,00:00 (00:00),Visual Concepts,2K,9
902,WorldBox - God Simulator,2-Dec-21,19.99,0,750000,00:00 (00:00),Maxim Karpenko,Maxim Karpenko,12
904,Marvel's Guardians of the Galaxy,26-Oct-21,17.99,0,750000,00:00 (00:00),Eidos-Montréal,Eidos Interactive Corp.,10
907,Firework,3-Feb-21,4.99,0,750000,00:00 (00:00),Shiying Studio,Gamera Games,2
3775,Minicraft Shooter,26-Feb-21,0.99,0,750000,00:00 (00:00),Boom Team,Boom Team,2
3816,Retro Run,30-Jun-21,1.99,0,750000,00:00 (00:00),Vander,lilleBror Media,6
6814,Mission Z,5-Feb-21,3.74,0,750000,00:00 (00:00),"New Games Waves, Softwaves",Softwaves Dist.,2
9082,The End of Dyeus,15-Oct-21,11.99,0,750000,00:00 (00:00),Curious Planet,Curious Planet,10
9656,My Beautiful Paper Smile,14-Oct-21,5.09,0,750000,00:00 (00:00),Two Star Games,"V Publishing, Surefire.Games",10
10052,Olympic Games Tokyo 2020 – The Official Video Game,21-Jun-21,9.99,0,750000,00:00 (00:00),SEGA,SEGA,6
1,Tetris Effect: Connected,17-Aug-21,19.99,93,350000,00:00 (00:00),"Monstars Inc., Resonair, Stage Games",Enhance,8
3,OPUS: Echo of Starsong - Full Bloom Edition,31-Aug-21,14.99,90,350000,00:00 (00:00),SIGONO INC.,SIGONO INC.,8
4,Psychonauts 2,24-Aug-21,20.39,89,350000,00:00 (00:00),Double Fine Productions,Xbox Game Studios,8
12,Lacuna – A Sci-Fi Noir Adventure,20-May-21,3.99,86,350000,00:00 (00:00),DigiTales Interactive,"Assemble Entertainment, WhisperGames, Mayflower Entertainment",5
19,Death's Door,20-Jul-21,7.99,85,350000,00:00 (00:00),Acid Nerve,Devolver Digital,7
24,The Forgotten City,28-Jul-21,24.99,84,350000,00:00 (00:00),Modern Storyteller,Dear Villagers,7
25,Griftlands,1-Jun-21,10.99,84,350000,00:00 (00:00),Klei Entertainment,Klei Entertainment,6
26,Unpacking,1-Nov-21,11.99,84,350000,00:00 (00:00),Witch Beam,Humble Games,11
38,Shadow Tactics: Aiko's Choice,6-Dec-21,6.79,83,350000,00:00 (00:00),Mimimi Games,Daedalic Entertainment,12
